ID,SRCIP,DSTIP,SRCPORT,DSTPORT,PROTOCOLID,RECEIVETIME
14,101.230.193.52,183.131.2.152,2437,8601,34,1462238084
15,101.230.193.50,113.207.2.69,16327,80,58,1462238084
16,12.118.161.181,180.149.144.169,50227,80,58,1462238084
17,222.66.50.181,113.108.23.60,30682,8000,36,1462238084
29,101.230.193.51,119.75.219.85,14076,80,58,1462238084
30,101.230.193.51,61.135.186.213,1232,80,58,1462238084
31,27.188.40.217,140.206.182.226,30057,32360,36,1462238084
32,119.147.20.75,101.230.193.52,8000,30721,36,1462238084
44,222.66.50.181,119.75.219.85,54221,80,58,1462238084
45,101.230.193.51,119.75.219.121,1238,80,58,1462238084
46,119.115.64.175,140.206.182.226,30133,40191,36,1462238084
47,101.230.193.55,123.125.115.130,52249,80,58,1462238084
18,183.232.38.219,101.230.193.52,80,36610,58,1462238085
19,101.230.193.51,123.125.115.130,56140,80,58,1462238085
20,101.230.193.51,14.17.43.117,52576,80,58,1462238085
21,180.166.140.67,125.39.211.56,31610,9910,36,1462238085
22,180.166.140.67,49.67.42.30,35235,30281,36,1462238085
23,180.166.140.67,219.131.180.240,12587,30051,36,1462238085
24,222.66.50.181,114.80.157.43,51229,80,58,1462238085
25,12.118.133.87,12.118.2.190,42867,135,34,1462238085
26,12.118.196.70,12.118.2.189,55299,445,34,1462238085
27,12.118.154.32,180.149.144.107,2072,80,58,1462238085
28,12.118.19.39,12.118.2.190,4365,445,4,1462238085
33,101.230.193.53,123.125.115.38,50482,80,58,1462238085
34,222.66.50.181,122.225.112.41,13194,80,58,1462238085
35,192.168.47.129,115.239.211.125,51103,80,58,1462238085
36,218.242.149.111,58.254.134.246,40149,80,58,1462238085
37,101.230.193.53,123.125.115.188,1079,80,58,1462238085
38,180.166.140.67,117.65.34.70,6703,30661,36,1462238085
39,180.166.140.67,118.122.140.143,31339,30075,36,1462238085
40,12.118.196.70,12.118.2.201,55294,135,34,1462238085
41,12.118.76.105,12.118.2.190,63055,445,34,1462238085
42,12.118.196.70,12.118.2.189,55299,445,4,1462238085
43,222.66.50.180,143.166.135.105,50056,80,58,1462238085
48,101.230.193.51,113.108.23.60,30446,8000,36,1462238085
49,101.230.193.52,183.232.38.219,36610,80,58,1462238085
50,180.166.140.68,125.39.211.54,10270,8000,36,1462238085
51,222.66.50.181,218.59.186.76,18709,80,58,1462238085
52,12.118.2.190,12.118.19.39,445,4365,4,1462238085
53,192.168.34.62,14.17.43.149,45884,80,58,1462238085
55,180.166.140.67,125.82.226.192,46882,30643,36,1462238085
56,180.166.140.67,124.160.144.55,36111,30868,36,1462238085
57,180.166.140.67,36.6.185.198,58745,30267,36,1462238085
58,12.118.222.234,12.118.2.129,4127,80,58,1462238085
59,12.118.162.33,180.149.144.107,51557,80,58,1462238085
60,12.118.2.189,12.118.196.70,445,55299,4,1462238085
61,12.118.19.39,12.118.2.190,4365,445,34,1462238085
62,101.230.193.55,180.168.41.175,57109,80,58,1462238085
64,101.230.193.51,113.207.2.69,61823,80,58,1462238085
0,192.168.48.90,115.239.210.172,52370,80,58,1462238086
2,101.230.193.50,119.75.219.121,65261,80,58,1462238086
3,101.230.193.53,113.207.2.69,59978,80,58,1462238086
4,12.118.77.141,113.108.23.60,30746,8000,36,1462238086
5,101.230.193.53,113.108.23.60,30341,8000,36,1462238086
6,12.118.56.134,115.239.210.27,34984,80,58,1462238086
54,54.209.186.152,222.72.135.130,33976,80,58,1462238086
63,218.242.149.111,61.164.153.96,18579,80,58,1462238086
65,12.118.19.44,12.118.2.201,4222,135,34,1462238086
66,101.230.193.55,119.75.219.121,60110,80,58,1462238086
67,222.66.50.180,123.125.115.38,1264,80,58,1462238086
68,12.118.223.214,12.118.1.149,61728,161,57,1462238086
